Ad Date,Ad Title,Ad Type,Age Specified,County,Gender Specified,Image No,Count,URL_ERROR,FULL TEXT,Notes,Press Date,Sale Date,Sale Disposition,Sale Location County,Sale Location Locale,Sale Location State,Skills Specified,First Name,Last Name,Source,Source Page,Subscriber County,Subscriber Firstname,Subscriber Lastname,Subscriber Locale,Subscriber State
18300818,For Sale,sell,,Baltimore,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18300818acda1.pdf,,,"ORPHANS’ COURT SALE. By order of the
Hon. the Orphans’ Court of Baltimore County
will be sold at public sale, on SATURDAY, the 21st
inst. at 10 o’clock in the forenoon, in East. Baltimore
street, near Harford Rm, a FAMILY of NEGROES,
twelve in number, from 60 years down to one year,
male and female. The terms of sale cash.
CHARLOTTE B CROW, Adm’x.
The purchasers will be required to give bond that
the above slaves shall not be taken or sold out of the
State of Maryland.
CHARLOTTE B. CROW, Adm’x.
au 18 4t ","Family of 12, ages 60-1, men and women",18300818,18300821,court_ordered,BA,E. Baltimore Street,MD,,,,American and Commercial Daily Advertiser,,,Charlotte,Crow,,MD
18300818,For Sale,sell,,,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18300518acda2.pdf,,,"FOR SALE—A VALUABLE FARM HAND,
just from the country, sold to close an estate. Can be had on reasonable terms, if immediate application be made at No. 20 Light street wharf.
may 18 d4t*",,18300518,,estate_sale,,,MD,,,,American and Commercial Daily Advertiser,,,,,20 Light Street Wharf,MD
18300824,For Sale,sell,under 10,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18300824acda1.pdf,,,"FOR SALE—A very valuable NEGRO MAN
aged about 30 years, of unexceptionable character, and sold only in consequence of his former master’s decease. Inquire at this office. 
au24 4t*",,18300824,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18300825,Orphan's Court Sale,sell,,Baltimore,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18300825acda1.pdf,,,"ORPHANS’ COURT SALE—By order of the
Orphans’ Court of Baltimore County, will be sold
at the residence of the late Nicholas Brian, at the head
of Middle river Neck (near John Buck’s Tavern, on
the Philadelphia road) on THURSDAY the 16th of
September, at ten o’clock, A. M. part of the personal estate of Nicholas Brian, Deceased,—consisting of
Horses; Cows; three well broke Oxen; Sheep; Hogs;
six Young Negroes; Wheat; Rye; Ox Carts; Farming
utensils, &.c. Terms made known at sale
DEBORAH BRIAN, Executrix.
an 25 1aw4t","6 young slaves, Nicholas Brian-deceased owner",18300825,18300916,court_ordered,BA,Middle River Neck,MD,,,,American and Commercial Daily Advertiser,,,Deborah,Brian,,MD
18300827,For Sale,sell,18-Nov,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18300827acda1.pdf,,,"FOR SALE—A young likely negro girl, about 14
years of age, for a term of 15 years from the 1st
of January next; she has been accustomed to do housework. For further particulars inquire of Kenedy,
at his Intelligence Office, No. 16, in the Maryland Arcade, Centre Market Space.
A further supply of Porter’s Dying Speech, for sale
wholesale and retail, as above.
Wanted—A convenient Dwelling House,
in the neighborhood of Centre Market space,
for which a liberal rent would be paid. Inquire as above.
3 or 4 white, and about as many colored women,
can get immediate employment in respectable families,
and good wages given. Apply as above mentioned.
Just received, a largo invoice of VIOLINS, assorted, which will bo sola wholesale and retail, by
J. KENEDY.
au 27 4t",,18300827,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18300907,Orphan's Court Sale,sell,18-Nov,Baltimore,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18300907acda1.pdf,,,"ORPHANS’ COURT SALE—By order of the
honorable the Orphans Court of Batimore county, the subscriber will offer al public sale, on SATURDAY next, the 11 th inst. at the New Bridge Hotel,
east Baltimore street, a NEGRO GIRL about 14 years
of age, to serve until the age of 28 years. Further particulars may be known on application to tho subscriber.	
ELISHA RANDALL, Auct.
E. R. Attends to all sales ordered by the Orphans’
Court, Trustees, &c. 
so 7 ?d5t",,18300907,18300911,court_ordered,BA,E. Baltimore Street,MD,,,,American and Commercial Daily Advertiser,,,Elisha,Randall,,MD
18300915,Wanted to Hire,buy,,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18300915acda1.pdf,,,"WANTED TO HIRE—A Slave girl, (by the
year); having some knowledge of cooking and
being a good house servant. For address, apply at
this office. 
se 15 d4t",,18300915,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18300925,For Sale,sell,18-Nov,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18300925acda1.pdf,,,"FOR SALE—A smart likely NEGRO BOY, about 15 years old, of very good character, to serve
till about the 1st of January 1840; sold to close an estate—
Price $100. Enquire at this office.
se 25 d4t*",,18300925,,estate_sale,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18301019,For Sale,sell,19 - 30,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301019acda1.pdf,,,"FOR SALE—A NEGRO MAN about 23 years
of age; he is honest and sober, and sold for no
fault; his present owner having no use for him. He
will be sold at a low price for a term of ten years to a
good master. Inquire at this office. 
oc19 d4t",,18301019,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18301019,Servant Wanted,Purchase,,Talbot,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301019rs1.pdf,,,"SERVANT WANTED.
A Gentleman of Talbot withes to purchase
for his own use, a negro man, slave for life, from 20 to 40 years of age--for one who can
be recommended for his honesty and sobriety
a liberal price in cash will be given. It is particularly desirable that he should have been accustomed to the care and management of horses.
On application at this office either pby letter
(post paid) or verbally particularly will be made known.
oct 19 4w","""A gentleman of Talbot wishes to purchase for his own use, a negro man, slave for life, from 20 to 40 years of age -- for one who can be recommended for his honest and sobriety, a liberal price in cash will be given. It is particularly desirable that he should have been accustomed to the care and management of horses. On application at this office either by letter (post paid) or verbally further caricatures will be made known""",18301019,,private_dealer,Talbot,,Maryland,,,,The Republican Star,3,TA,,,,Maryland
18301020,For Sale,sell,18-Nov,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301020acda1.pdf,,,"FOR SALE—A NEGRO BOY of about 15 years
of age, who has been carefully brought up to family service. Apply at this office.
oc 20 P 3aw2w",,18301020,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18301027,Wanted,buy,,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301027acda1.pdf,,,"WANTED—Wanted by the month or year two
good female Slave Servants; one for cooking
and washing, the other for house work: they must be
honest and faithful, any person having such may hear
of a good place in a small family when payment
will be made as often as the owner may wish. In-quire at the American office. 
oc 27 d4t",2 slaves requested,18301027,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18301030,To Hire,Purchase,,Queen Anne's,both sexes,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301113ctpa1.pdf,,,"TO HIRE
For the ensuing year, 6 or 8 NEGROES, of both sexes, accustomed to
house and farm work. 
ANN WRIGHT
Oct. 30.",,18301113,,private_dealer,,,,house and farm work,6-8 Negroes,,Centreville Times and Eastern-Shore Public Advertiser,1,,Ann,Wright,,
18301030,Notice,Sale,14,Queen Anne's,Female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301113ctpa3.pdf,,,"NOTICE.
THE Subscriber has been requested
by Admin'x of a deceased. person's estate,
to dispose of a NEGRO GIRL, about
14 years of age—and a Negro Man,
about 50 years of age. The girl accustomed to house work and nursing ;
the man, a good rough carpenter, shoe-maker, &c. Both are said to be healthy, and are not to be sold out of the state.
J. B. SPENCER
Oct. 30",requested by the Admin'x of a dec'd person's estate to dispose of the slaves,18301113,,private_dealer,,,,house work and nursing,Unknown,,Centreville Times and Eastern-Shore Public Advertiser,4,,J. B.,Spencer,,
18301030,Notice,Sale,50,Queen Anne's,Male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301113ctpa3.pdf,,,"NOTICE.
THE Subscriber has been requested
by Admin'x of a deceased. person's estate,
to dispose of a NEGRO GIRL, about
14 years of age—and a Negro Man,
about 50 years of age. The girl accustomed to house work and nursing ;
the man, a good rough carpenter, shoe-maker, &c. Both are said to be healthy, and are not to be sold out of the state.
J. B. SPENCER
Oct. 30",requested by the Admin'x of a dec'd person's estate to dispose of the slaves,18301113,,private_dealer,,,,"rough carpenter, shoemaker, etc.",Unknown,,Centreville Times and Eastern-Shore Public Advertiser,4,,J. B.,Spencer,,
18301110,Cash!,Purchase,10 to 25,Queen Anne's,both sexes,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301113ctpa2.pdf,,,"CASH!
THE subscriber wishes to purchase
From 50 to 100
LIKELY NEGROES.
From 10 to 25 years of age, of both
sexes, for which the highest market
price will be given in cash, Apply to
the subscriber, or in his absence a
letter left with Mr. S. Lowe, Easton Hotel, or directed to the subscriber at Centreville,
will meet immediate attention.
THO. W. OVERLEY
Nov. 10",,18301113,,private_dealer,,"Mr. S. Lowe, Easton Hotel",,,50-100 likely negroes,,Centreville Times and Eastern-Shore Public Advertiser,3,QA,Tho. W.,Overley,Centreville,Maryland
18301116,Cash for Negroes,Purchase,25-Dec,Talbot,Both,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301116rs1.pdf,,,"CASH FOR NEGROES.
THE Subscriber, Agent for Austin Woolfolk, of Baltimore, takes this method of
acknowledging the many preferences in the
purchase of negroes, and wishes the citizens of
the Eastern Shore to still continue their preference to him for
100 NEGROES
From the age of twelve to twenty five
years, for whom he will give higher prices than
any real purchaser that is now in the market,
or may hereafter come. Any person having
negroes, of the above ages, will do well in giving the preference to
SAMUEL REYNOLDS,
who may be found at the Easton Hotel
nov 16 2w","""The subscriber, agent for Austin Woolfolk, of Baltimore, takes this method of acknowledging the many preferences in the purchase of negroes and wishes the citizens of the Easton Shore to still continue their preference to him for 100 Negroes from the ages of twelve to twenty five years, for whom he will give higher prices than any real purchases that is now in the market or may hereafter come. Any person having negroes, from the above ages, will do well in giving the preference to Samuel Reynolds who may be found at all times at the Easton Hotel."" Reprinted weekly through May 31, 1831.",18301116,,private_dealer,Talbot,Easton,Maryland,,,,The Republican Star,3,TA,Samuel,Reynolds,Easton,Maryland
18301117,For Sale,sell,18-Nov,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301117acda1.pdf,,,"FOR SALE—a handsome coloured
BOY; about fourteen years of age, slave for life,
he is healthy and well grown, and sold for no fault.
no 17 eo4t",,18301117,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18301119,For Sale,sell,19 - 30,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301119acda1.pdf,,,"FOR SALE--A likely mulatto boy,
about 21 years of age, slave for life—he is a first
rate waiter or house servant, healthy, active, strong
and willing, a good carriage driver, and understands
cooking; he is not sold for any faults but in consequence of the owner not having any further use for
him. Inquire at the office of the American.
no 19 CR fl4t",,18301119,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18301123,For Sale,sell,18-Nov,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301123acda1.pdf,,,"FOR SALE—likely dark mulatto girl,
about 11 years old, just from the country, to serve
until she is 35. Apply at this office.
no 23 d4t*",,18301123,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18301125,For sale,sell,,,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301125acda1.pdf,,,"FOR SALE—A NEGRO WOMAN and her two
Male Children, the owner having no further use
for them. The woman can be recommended for honesty, industry and a good disposition. Having been
brought up in the country, she does not possess those
disagreeable qualities found in slaves raised in this city. For further particulars inquire at this office.
N. B. The above woman is a good plain cook.
no 25",a mother and her 2 male children,18301125,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18301125,Wanted to Purchase,purchase,10to 15,Queen Anne's,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301127ctpa1.pdf,,,"FOR SALE.
THE Subscriber offers at public sale,
one yoke of Oxen, three milch cows, one
mule, and two Horses, one of which is
a first rate saddle and gig horse and only five years old. Also
Wanted to Purchase
Two or three likely looking negro
boys from ten to fifteen years of age,
(for my own use), for such a liberal
price will be given, 
T. J. BROWN.
Nov. 25. 1830.",Brown wants to purchase for his own use,18301127,,private_dealer,,,,,Two or three likely negroes,,Centreville Times and Eastern-Shore Public Advertiser,3,,T. J.,Brown,,
18301207,For Sale,sell,19 - 30,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301207acda1.pdf,,,"FOR SALE—A NEGRO WOMAN, about 25
years old, a slave for life. She has been accustomed to house work generally but is a first rate
chamber maid and excellent nurse. Apply at this office. 
de 7 4t*",,18301207,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18301207,Servant Wanted,buy,,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301207acda2.pdf,,,"SERVANT WANTED—A female domestic is
wanted to act as waiter in a small family. A
slave would be preferred—none need apply who cannot come well recommended for honesty, civility, and
industry. Apply at this office.
de 7 d4t",,18301207,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18301208,Wanted,buy,,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301208acda1.pdf,,,"WANTED to purchase, a female SLAVE, capable of being useful in a family. Apply at this office.
dec 8 d4t",,18301208,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18301210,For sale,sell,18-Nov,Baltimore City,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301210acda1.pdf,,,"FOR SALE—a NEGRO GIRL, about 13 years
of age, having to serve until 44. She has been
somewhat accustomed to waiting and doing light
house work in general, and can be recommended as a
nurse, being particularly fond of children, and good
tempered—she is believed to be strictly honest, and
sold for no fault. Inquire at No. 20, Light street
Wharf for further particulars. 
de 10 4t",,18301210,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,BC,,,20 Light Street Wharf,MD
18301211,Notice,Sale,,Queen Anne's,unknown,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301225ctpa1.pdf,,,"NOTICE.
BY virtue of an order of Queen Ann’s
County Court sitting as a Court of Equity made at November Term 1830.
I will sell at public sale at Centreville
on six months credit,
SUNDRY NEGROES,
(possessed by William Murphey at the
time of his death) on Thursday the 30th
of this month. Bond with approved
security will be required before the Degrees are taken away.
It is understood that said negroes will
not be sold to persons out of the state
or to persons who would sell them out
of the state. 
THO. B. TURPIN,
Trustee
December 11",negroes will not be sold to persons out of state or to persons who would sell them out of state. Slaves belonged to William Murphy at the time of his death.,18301225,18301230,public_dealer,Queen Anne's County,Centreville,Maryland,,Sundry Negroes,,Centreville Times and Eastern-Shore Public Advertiser,4,QA,Tho. B.,Turpin,,Maryland
18301213,Wanted To Purchase,sell,,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301213acda1.pdf,,,"WANTED TO PURCHASE, a negro WOMAN,
capable of cooking and house work generally,
for one of good moral character, a fair price will be
given. Also, a negro BOY, of between twelve and
sixteen years of age. Inquire at this office.
de 13 d8t",,18301213,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18301213,Wanted To Purchase,sell,18-Nov,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301213acda1.pdf,,,"WANTED TO PURCHASE, a negro WOMAN,
capable of cooking and house work generally,
for one of good moral character, a fair price will be
given. Also, a negro BOY, of between twelve and
sixteen years of age. Inquire at this office.
de 13 d8t",,18301213,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18301214,To be hired for the next year,Sale,,Talbot,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301214rs1.pdf,,,"To be hired for the next Year,
NEGRO Men, Women, Boys and Girls, some small Boys and Girls to be put out. All persons indebted to the Estate of the late Mrs. Rachel L. Kerr are requested to make immediate payment, particularly those who are indebted for the hire of Negroes.
JOHN LEEDS KEER, Executor
de 11 4t","""Negro men, women, boys, and girls-- some small boys and girls to be put out. All persons indebted to the estate of the late Mrs. Rachel L. Kerr are requested to make immediate payment, particularly those who are indebted for the hire of negroes. John Leeds Kerr, Executer. "" Reprinted Demcember 21, 1830 and December 28, 1830.",18301214,,private_dealer,,,,,,,The Republican Star,,,John Leeds,Kerr,,
18301229,For Sale,sell,18-Nov,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18301229acda1.pdf,,,"FOR SALE—a mulatto girl, 12years
old, to serve till she is forty. She will be sold
low, as the owner has no further use for her. Inquire
at this office.
dec 29 eo4t*",,18301229,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18310105,For Sale,sell,19 - 30,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310106acda2.pdf,,,"FOR SALE—A Stout healthy NEGRO MAN,
aged 24 years; he has been brought up on a farm,
and accustomed to wagoning. Inquire at this office.
ja 5 4t",,18310106,,private_dealer,,,MD,field hands,,,American and Commercial Daily Advertiser,,,,,,MD
18310106,For Sale,sell,19 - 30,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310106acda1.pdf,,,"FOR SALE—A likely MULATTO WOMAN,
about 20 years old—she has been brought up to
housework in the city; is a good washer and ironer;
plain cook and a good nurse, and can be recommended
for honesty, sobriety and good disposition. The owner having no use for, wishes to dispose of her to a good
master in town. Apply at this office.
ja 6 eo4t",,18310106,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18310107,For Sale,sell,31 - 50,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310107acda1.pdf,,,"For sale for life—a black woman,
33 years of age, a good plain cook, honest, sober
and well behaved in every respect. Apply at this office.
ja 7 d4t*",,18310107,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18310107,Negro Girl for Sale,sell,18-Nov,Baltimore City,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310107acda2.pdf,,,"NEGRO GIRL FOR SALE—Aged 16 years, to
serve 12 years. She is honest and pleasant in
her disposition, has been brought up to attend children and to house work generally. To save trouble,
the price is 175 dollars. Inquire of William Wilson,
nine miles from Baltimore, on the Old Harford Road,
near Cromwell’s Bridge.
ja 7 1awt*",,18310107,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,BC,William,Wilson,Old Harford Road,MD
18310107,Public Sale,sell,19 - 30,Baltimore City,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310107acda3.pdf,,,"PUBLIC SALE— By order of the honourable the
Orphans’ Court of Baltimore County, will be
offered for sale on SATURDAY, the 8th January,
1831, at the Court House door, at 12 o’clock, precisely, for cash, a valuable NEGRO MAN, about 24
years old, a slave for life, without restriction. The
property of James Wonn, orphan son of William W.

Wonn, deceased.
E. RANDALL, Auct.
ja 7 G",property of James Wonn,18310107,18310108,estate_sale,BC,Courthouse,MD,,,,American and Commercial Daily Advertiser`,,,E.,Randall,,MD
18310108,"To Hire, a Colored Woman",sell,,Baltimore City,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310108acda1.pdf,,,"TO HIRE, a COLORED WOMAN, who has to
 serve for two years; and for sale a Coloured Boy
of four years of age, who is to be freed at the age of
forty; the woman is highly recommended. For particulars inquire of John Kenedy at his Intelligence
Office, No. 16 Maryland Arcade, Centre Market
Space—where all kinds of business in the Intelligence
line is punctually attended to.	
ja 8 4t",,18310108,,private_dealer,BC,,MD,,,,American and Commercial Daily Advertiser,,BC,John,Kennedy,"No. 16 Maryland Arcade, Centre Market Space",MD
18310108,"To Hire, a Colored Woman",sell,under 10,Baltimore City,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310108acda1.pdf,,,"TO HIRE, a COLORED WOMAN, who has to
 serve for two years; and for sale a Coloured Boy
of four years of age, who is to be freed at the age of
forty; the woman is highly recommended. For particulars inquire of John Kenedy at his Intelligence
Office, No. 16 Maryland Arcade, Centre Market
Space—where all kinds of business in the Intelligence
line is punctually attended to.	
ja 8 4t",,18310108,,private_dealer,BC,,MD,,,,American and Commercial Daily Advertiser,,BC,John,Kennedy,"No. 16 Maryland Arcade, Centre Market Space",MD
18310110,Wanted,buy,15 - 30,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310110acda1.pdf,,,"WANTED—The advertiser wishes to purchase
a NEGRO WOMAN, from 15 to 30 years of
age, for life or a term of years. She must be sober,
honest and industrious—none other will suit. For
such an one a liberal price will be given. Apply at
this office.
ja 10 d4t*",,18310110,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18310111,"For Sale, a Negro Woman",sell,19 - 30,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310111acda1.pdf,,,"FOR SALE A NEGRO WOMAN, slave for life,
30 years of age, an excellent washer and Ironer,
and good plain cook. Apply at this office.
ja 11 eo4t",,18310111,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18310112,"For Sale, For a Term of Years",sell,18-Nov,,male,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310112acda1.pdf,,,"For sale, for a term of years--a
very smart, active, yellow BOY, between 15 and
16 years of age; capable of doing all kinds of housework; he is an excellent waiter, and will not be sold in the city.
Inquire at this office. 
ja 12 eo4t*",,18310112,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18310118,Wanted to Purchase,buy,,Baltimore City,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310118acda1.pdf,,,"Wanted to purchase, a colored woman, who would be well recommended, and
for whom a liberal price would be paid—one from the
country would be preferred. Enquire of KENEDY, at
his intelligence office, No. 16 Maryland Arcade, Centre Market Space.
ja 18 4t",,18310118,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,BC,,Kennedy,"No. 16 Maryland Arcade, Centre Market Space",MD
18310125,"Negro Girl, For Sale",sell,18-Nov,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310127acda1.pdf,,,"Negro girl for sale-A healthy Negro
GIRL about 14 years of age, well grown, will
be sold for a term of years to a good master—she will
be sold low. For terms, inquire at this office.
ja 25
eo4t",,18310127,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
18310207,For Sale,sell,19 - 30,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310207acda1.pdf,,,"FOR SALE—For the term of 12 years, more or
less, a likely NEGRO WOMAN, about 19 years
of age, with her male child about 7 months old. She
is a good plain cook, Washer, and Ironer, and has
been used to those employments, is strong and healthy and of cheerful disposition, her child perfect and
healthy. For further particulars inquire at this office.
fe 7 d4t","mother of a 7 month old son, for sale with mother",18310207,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18310210,For Sale,sell,19 - 30,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310210acda1.pdf,,,"FOR SALE—a handsome MULATTO GIRL,
aged twenty years, accustomed to House Work.
Will be sold for the time of three and one half years.
For terms which will be moderate. Inquire at this
office. 
fe 10 4t",,18310210,,private_dealer,,,MD,domestics,,,American and Commercial Daily Advertiser,,,,,,MD
18310215,Sheriff's Sale,Sale,,Talbot,Both,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310215rs1.pdf,,,"By virtue of three writs of venditioni expo.  has issued out of Talbot County Court,
and to me directed and delivered by the Clerk
thereof: one at the suit of Edward Roberts, use
of John E. Rigdon, one at at the suit of the State of Maryland use of J. Sangston, Adm. D. B. N.
of George A. Smith, and one at the suit of the
Stale of Maryland, at the instance and and for the use of Shadrach and Salomon Mitchell, against
Clement Morris, will be sold on Easton,
eighth day of March next, at the Court House
door, in the town of Easton, between the hours
of 10 and 4 o'clock, of said day, the following
properly to wit: One negro boy Stephen, about 21 years old, one negro boy Major, about 18
 years old, and one negro woman Matilda,
about 20 years old, taken as the property of the said Clement Morris, and will be sold to pay and satisfy the 
above venditionis exponas and the
interest and costs due and to become due thereon.
Attested by
THOMAS HENRIX, late Sherrif
feb 15 4w","""One negro boy Stephen, about 21 years old, one negro boy Major, about 18 years old, and one negro woman Matilda, about 20 years old, taken as the property of the said Clement Morris, and will be sold to pay and satisfy the above...""",18310215,18310308,private_dealer,Talbot,Easton,Maryland,,,,The Republican Star,3,TA,Thomas,Hendrix,,Maryland
18310215,Orphans's Court Sale,Sale,,Talbot,,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310222rs1.pdf,,,"ORPHAN's COURT SALE.
By virtue of an order of the Orphan's Court of Talbot County, will be sold at the late residence of George Shannahan, near the Royal Oak, on Wednesday the 9th day of March next, at 10 o'clock, A. M. if fair, if not, the next fair day thereafter: all the Personal Property of the said George Shannahan, late of Talbot County deceased, consisting of
NEGROES,
Horses, Cattle, Sheep & Hogs,
Farming Utensils, Household and Kitchen Furniture, and sundry other articles too tedious to mention. The terms of sale are a credit of six months on all sums over five dollars, the purchaser giving bond or note with approved security bearing interest from the day of sale, for all sums of and under five dollars the cash will be be required.
WM. TOWNSEND, Adm'r,
of George Shannahan, deceased.
feb 22 3w","""By virtue of an order of the Orphan's Court of Talbot County, will be sold at the late residence of George Shannahan, near the Royal Oak, on Wednesday, the 9th day of March next, at 10 o'clock, A. M. if fair, if not, the nect fair dat thereafter: all the personal property of the said George Shannahan, lat of Talbot County deceases -- consisting of Negroes, horses, cattle, sheep, and hogs...""",18310222,18310309,public_dealer,Talbot,,Maryland,,,,The Republican Star,3,TA,Wm.,Townsend,,Maryland
18310222,For Sale,sell,,,female,http://msa.maryland.gov/megafile/msa/speccol/sc5400/sc5496/domestic_traffic_ads/pdf/18310222acda1.pdf,,,"FOR SALE—A young Negro WOMAN, slave for
life; sold for no fault. None need apply who
wish to take her out of the slate. 
fe 22 d6t",,18310222,,private_dealer,,,MD,,,,American and Commercial Daily Advertiser,,,,,,MD
